gene	conMean	treatMean	logFC	pValue	fdr
SLC25A10	8.73569664631153	3.86006786619033	-1.17829654583725	8.01252955015599e-43	2.2750515655728e-42
EEF2K	3.89413366215424	3.83623981333014	-0.021609494144442	0.143875465261842	0.148579128118896
AC000123.1	1.0697522730764	1.56385708398167	0.547831930778806	1.75041022730381e-20	2.68204047973489e-20
AC005840.1	0.176663320032036	0.576112028468752	1.70534685031126	2.05984988920806e-27	3.63349425906582e-27
ARL9	0.09865590392977	0.957694837298673	3.2790887298056	1.97691242233285e-53	3.01991425501049e-52
C2orf15	0.820995662598972	1.57559209831446	0.940447581647916	1.68191162416962e-37	3.8773565756423e-37
LYN	3.08964279676751	6.88210918585463	1.15541072756231	3.82831075089048e-45	1.23774589733024e-44
PITPNC1	7.90864810027411	3.71953706291079	-1.08830802899727	1.89958488073028e-40	4.87250663203861e-40
TRMT9B	1.7668388014148	0.416365998084421	-2.08524625776042	2.4972435722651e-51	1.61097001830111e-50
CABCOCO1	0.185381719803572	0.588078370858262	1.66550944097146	1.00642440602807e-26	1.74980898386041e-26
PLCB4	0.676330394181713	2.47572346686979	1.87205008271552	1.90787209465822e-44	5.90626647089521e-44
AP005136.3	0.213196003912409	0.270181185500627	0.341746816913495	0.0033707695944398	0.00366164001637681
TAF6	7.14290000245682	6.11055676719659	-0.2252060862648	1.4772119994612e-18	2.18129075291959e-18
POLR2KP1	0.220839878540561	0.222161739943983	0.00860966855067602	1.74332055621942e-06	2.04668932981103e-06
MTFR1L	12.7721719401707	5.15548942357007	-1.30882258197265	2.91035459042431e-53	4.01970635029657e-52
PPIAP39	0.197450874658943	1.17774132175758	2.5764570377684	1.20756207478441e-39	2.990995656917e-39
MAP3K5	5.36912829095046	6.38279847214294	0.249501220118133	1.57378996374931e-05	1.80733318940668e-05
SMIM30	6.66355727886937	9.49443326313708	0.510789333884459	2.47193148166462e-37	5.66733484522772e-37
SPATA33	2.13439344181568	1.41267993352829	-0.595391502991163	4.97088430952098e-36	1.09548913578364e-35
HDGFL2	6.72317325560031	9.14949929065411	0.444550465421787	1.70261477812795e-24	2.82421571260138e-24
MTHFD2	12.6793668402193	6.6709593986855	-0.926516538722934	5.6215909754059e-28	1.00434970477074e-27
ELOVL1	14.1854505102705	25.0486858943854	0.820322949317566	2.01543427899884e-45	6.64742575843172e-45
RSBN1L	2.81313047809264	3.30834175751339	0.233931806122148	1.38310495465388e-13	1.86451365363608e-13
